game_type,map_type,win_point
4,Desert_Main,"[[548659.0625, 469754.9375], [549194.4375, 470500.4375]]"
4,Erangel_Main,"[[566254.25, 316442.6875], [566327.9375, 315327.84375], [565682.3125, 316213.21875]]"
4,Desert_Main,"[[308087.9375, 291224.09375], [308804.59375, 284133.21875]]"
1,Desert_Main,"[[386660.625, 573000.4375]]"
1,Range_Main,[]
1,Savage_Main,"[[246286.296875, 265571.4375]]"
1,Erangel_Main,"[[500449.21875, 363575.21875]]"
4,Savage_Main,"[[212783.953125, 166473.78125], [210223.15625, 166262.171875], [208729.4375, 166081.90625], [209538, 165894.03125]]"
1,Range_Main,"[[140760.484375, 143327.84375]]"
4,Savage_Main,"[[278505.46875, 125507.0703125]]"
4,Savage_Main,"[[280160.21875, 173521.640625], [281700.53125, 173611.0625], [283143.5, 173154.09375]]"
1,Range_Main,[]
4,Savage_Main,"[[118619.1171875, 256782.640625], [118311.6640625, 256330.140625], [119491.3359375, 257162.8125]]"
2,Savage_Main,"[[109322.875, 202949.171875], [108346.03125, 202947.8125]]"
1,Range_Main,"[[145097.953125, 138341.453125]]"
4,Desert_Main,"[[570935, 545791.75], [573023.5625, 544963.8125], [569950.4375, 544535.25]]"
4,Savage_Main,"[[284416.1875, 175578.15625], [286791.3125, 178962.8125], [286175.4375, 179161.453125], [286983.15625, 178889.96875]]"
1,Savage_Main,"[[312380.125, 240112.71875]]"
1,Range_Main,"[[149928.71875, 142926.46875], [147542.609375, 138860.046875], [143516.4375, 145388.96875], [148859.953125, 139614], [146939.546875, 138350.90625]]"
1,Erangel_Main,"[[458619.34375, 366228.875]]"
4,Desert_Main,"[[646045.875, 448881.5], [648844.3125, 448290.625], [648862.75, 448410.625]]"
2,Savage_Main,"[[173017.09375, 197150.75], [173736.671875, 196964.53125]]"
2,Savage_Main,"[[273444, 304773.75]]"
4,Savage_Main,"[[140346.109375, 265829.125], [140786.25, 265629.46875]]"
2,Savage_Main,"[[206319.71875, 234655.796875]]"
4,Savage_Main,"[[212058.328125, 93950.1953125]]"
2,Savage_Main,"[[84766.4609375, 166390.34375], [84674.25, 165645.265625]]"
1,Erangel_Main,"[[516026.90625, 78543.7265625]]"
1,Erangel_Main,"[[545925.125, 354030.78125]]"
4,Desert_Main,"[[504931.0625, 432353.90625], [505371.21875, 432380.34375], [503925.78125, 431805.0625]]"
2,Savage_Main,"[[254358.453125, 242150.578125], [253294.890625, 241466.8125]]"
1,Range_Main,"[[61543.48828125, 98215.3203125], [61102.3828125, 100111.8046875], [115635.8359375, 142567.171875], [139794.21875, 138609.890625], [135173.5625, 142854.9375]]"
1,Range_Main,"[[175950.421875, 97214.890625]]"
4,Desert_Main,"[[299107.59375, 229666.3125], [299185.09375, 225330.953125], [299765.3125, 227647.296875], [296974.75, 229649.46875]]"
2,Savage_Main,"[[234657.375, 221607.8125]]"
2,Erangel_Main,"[[713270.4375, 476416.21875], [713045.375, 476487.5]]"
4,Erangel_Main,"[[388377.5, 336439.3125], [384537.78125, 335292.78125]]"
4,Erangel_Main,"[[209500.234375, 261922.546875], [208838.5, 261759.09375], [210292.28125, 260950.671875]]"
4,Erangel_Main,"[[161743.40625, 452802.75], [162943.96875, 453240.46875], [161304.96875, 450605.34375], [159483.71875, 454131.0625]]"
2,Desert_Main,"[[343787.5, 307595.90625]]"
4,Desert_Main,"[[137177.265625, 700728.4375], [132764.6875, 710462.25]]"
4,Savage_Main,"[[249511.375, 144609.25], [249922.75, 145611.109375]]"
4,Savage_Main,"[[137773.15625, 274444.875]]"
2,Savage_Main,"[[207833.375, 244472.59375], [208024, 243930.421875]]"
2,Savage_Main,"[[281122.625, 142025.0625]]"
2,Savage_Main,"[[337813.90625, 232207.390625], [338167.5, 232643.59375]]"
2,Savage_Main,"[[224215.0625, 385084.125], [224796.140625, 383869.5]]"
2,Desert_Main,"[[661827.5, 271995.84375], [662148.1875, 271519.84375]]"
4,Erangel_Main,"[[655755.625, 482528]]"
2,Erangel_Main,"[[177039.25, 478749.625]]"
1,Savage_Main,"[[266223, 210444]]"
1,Erangel_Main,"[[228087.890625, 319939.59375]]"
4,Desert_Main,"[[171015.453125, 382951.84375], [166706.515625, 381628.3125], [166814.8125, 381247.71875], [165877.296875, 381190.84375]]"
